year,CI_low,CI_high,LPI_final,type
1987,0.96356196569502,1.10969496732082,1.0337235031128,onepercent_na_onepercent
1988,0.962955830271615,1.11146015592215,1.03421791378856,onepercent_na_onepercent
1989,0.964081607156259,1.11678538794715,1.03706322815106,onepercent_na_onepercent
1990,0.963687760229395,1.12212461506283,1.03943454286864,onepercent_na_onepercent
1991,0.959374005495541,1.12239640300389,1.0371832691297,onepercent_na_onepercent
1992,0.954897640337841,1.12180339376502,1.03436805133423,onepercent_na_onepercent
1993,0.95834586416158,1.13035202075646,1.03962665515493,onepercent_na_onepercent
1994,0.963798823628972,1.14097897874028,1.04736157863554,onepercent_na_onepercent
1995,0.964241439259155,1.1448649211206,1.04954994146909,onepercent_na_onepercent
1996,0.969255980958281,1.1543686911826,1.0564872054813,onepercent_na_onepercent
1997,0.968337318901871,1.15577870289768,1.05676568487032,onepercent_na_onepercent
1998,0.962494009273401,1.15313081763917,1.05224135360591,onepercent_na_onepercent
1999,0.952427014108739,1.14713747623654,1.04378647453567,onepercent_na_onepercent
2000,0.942734599143844,1.13976323916951,1.03491124346069,onepercent_na_onepercent
2001,0.936880258283017,1.13799689767124,1.03059835782505,onepercent_na_onepercent
2002,0.930651430218739,1.13694321525302,1.02668629196871,onepercent_na_onepercent
2003,0.92430865557886,1.13463779566857,1.02265874958911,onepercent_na_onepercent
2004,0.923529590874096,1.1356171020039,1.02309643062498,onepercent_na_onepercent
2005,0.927428802996432,1.14269497832585,1.02842257124711,onepercent_na_onepercent
2006,0.928610068007961,1.14673721182427,1.03043361372136,onepercent_na_onepercent
2007,0.928261522859705,1.15160604077877,1.03204080376074,onepercent_na_onepercent
2008,0.924187511057655,1.14944389157233,1.02891179909072,onepercent_na_onepercent
2009,0.918911027234471,1.14681854840069,1.02461532246696,onepercent_na_onepercent
2010,0.914541831230618,1.14536342180585,1.0216295587434,onepercent_na_onepercent
2011,0.913389512436271,1.14724030507679,1.0221319423458,onepercent_na_onepercent
2012,0.911687725454936,1.14945568877586,1.02172162248964,onepercent_na_onepercent
2013,0.912527945540475,1.15329811126231,1.02410734200402,onepercent_na_onepercent
2014,0.915141686663744,1.16003561063671,1.02821845187747,onepercent_na_onepercent
2015,0.918805624099115,1.16850444371397,1.03475888849421,onepercent_na_onepercent
2016,0.922437481153462,1.17567762905378,1.03984260997623,onepercent_na_onepercent
2017,0.919525832256597,1.17393460621846,1.03739289035783,onepercent_na_onepercent
2018,0.916524430341152,1.17176439220755,1.03454741183679,onepercent_na_onepercent
2019,0.921756495645238,1.18252582780884,1.04176711643619,onepercent_na_onepercent
2020,0.927636072554408,1.19454436131955,1.05073497933806,onepercent_na_onepercent
2021,0.929833431855552,1.19964708403666,1.05495582598673,onepercent_na_onepercent
2022,0.923022240640979,1.19761351534222,1.05057652015426,onepercent_na_onepercent
